pageviews	time_on_page	stories	comments	ratings	newsletters	nationality	manipulation_level	visitor_session_id
1	15	0	0	0	NA	Ecuador	local	3008
28	4413.0	0	2	2	NA	Ecuador	local	3009
2	169.0	0	0	0	NA	Perú	local	3010
1	15	0	0	0	NA	El Salvador	all	3011
3	215.0	0	0	1	NA	Colombia	all	3012
2	37.0	0	0	0	NA	Perú	local	3013
1	15	0	0	0	NA	Colombia	all	3015
1	15	0	0	0	NA	México	all	3016
2	90.0	0	0	0	NA	Argentina	all	3017
4	210.0	0	0	0	NA	Perú	all	3019
1	15	0	0	0	NA	Colombia	local	3020
59	3010.0	1	0	8	NA	México	all	3021
1	15	0	0	0	NA	Guatemala	all	3022
1	15	0	0	0	NA	República Dominicana	local	3024
1	15	0	0	0	NA	México	local	3025
3	33.0	0	0	2	NA	Colombia	local	3026
4	196.0	0	0	0	NA	Perú	all	3027
1	15	0	0	0	NA	Perú	local	3028
1	15	0	0	0	NA	Perú	all	3029
1	15	0	0	0	NA	Chile	local	3030
1	15	0	0	0	NA	Colombia	local	3031
8	307.0	0	0	1	NA	Honduras	all	3032
1	15	0	0	0	NA	México	all	3033
10	59.0	0	0	0	NA	Perú	all	3034
1	15	0	0	0	NA	Colombia	local	3035
1	15	0	0	0	NA	Colombia	all	3036
1	15	0	0	0	NA	Colombia	local	3037
1	15	0	0	0	NA	Venezuela	all	3038
7	297.0	0	2	0	NA	Perú	local	3039
1	15	0	0	0	NA	Colombia	all	3040
1	15	0	0	0	NA	Perú	all	3041
12	935.0	0	1	0	NA	Venezuela	all	3042
2	2.0	0	0	0	NA	República Dominicana	local	3043
5	82.0	0	0	2	NA	México	all	3044
1	15	0	0	0	NA	México	local	3045
67	3962.0	1	1	1	NA	Perú	local	3046
7	492.0	0	1	1	NA	Perú	local	3047
1	15	0	0	0	NA	Argentina	all	3048
24	870.0	0	1	1	NA	Guatemala	local	3049
1	15	0	0	0	NA	México	all	3050
1	15	0	0	0	NA	Chile	all	3051
7	46.0	0	0	1	NA	Chile	local	3052
1	15	0	0	0	NA	Colombia	local	3053
9	573.0	0	0	1	NA	República Dominicana	all	3056
22	834.0	0	0	0	NA	Perú	local	3057
11	664.0	0	0	1	NA	México	all	3058
1	15	0	0	0	NA	Colombia	local	3059
1	15	0	0	0	NA	Perú	local	3060
2	46.0	0	1	0	NA	México	all	3061
5	192.0	0	0	0	NA	México	all	3063
1	15	0	0	0	NA	Colombia	local	3064
12	1337.0	0	0	0	NA	Colombia	all	3065
1	15	0	0	0	NA	Perú	all	3066
2	109.0	0	0	0	NA	Venezuela	all	3067
1	15	0	0	0	NA	México	local	3068
12	488.0	1	2	2	NA	México	all	3070
1	15	0	0	0	NA	México	local	3071
1	15	0	0	0	NA	Colombia	all	3072
5	455.0	0	0	0	NA	Argentina	all	3074
2	55.0	0	0	0	NA	Perú	local	3075
1	15	0	0	0	NA	Colombia	all	3076
38	1148.0	0	0	0	NA	México	local	3077
3	133.0	0	0	0	NA	Honduras	all	3079
2	26.0	0	0	0	NA	Perú	all	3080
1	15	0	0	0	NA	Perú	local	3081
1	15	0	0	0	NA	Ecuador	all	3082
4	979.0	0	0	1	NA	Venezuela	local	3083
1	15	0	0	0	NA	México	local	3084
4	118.0	0	0	0	NA	Perú	all	3085
1	15	0	0	0	NA	Bolivia	all	3086
1	15	0	0	0	NA	Colombia	local	3087
2	46.0	0	0	0	NA	Colombia	all	3088
2	97.0	0	0	0	NA	Perú	all	3089
1	15	0	0	0	NA	Estados Unidos	local	3090
4	62.0	0	0	0	NA	Colombia	all	3091
1	15	0	0	0	NA	México	all	3092
1	15	0	0	0	NA	Panamá	local	3094
1	15	0	0	0	NA	Chile	all	3096
1	15	0	0	0	NA	México	all	3097
1	15	0	0	0	NA	Guatemala	all	3098
1	15	0	0	0	NA	República Dominicana	all	3100
4	62.0	0	0	0	NA	México	local	3101
1	15	0	0	0	NA	México	local	3103
13	607.0	0	0	0	NA	México	all	3104
2	8.0	0	0	0	NA	Guatemala	all	3107
1	15	0	0	0	NA	Panamá	all	3109
1	15	0	0	0	NA	México	all	3111
8	713.0	0	0	0	NA	Perú	local	3112
1	15	0	0	0	NA	Perú	all	3113
5	340.0	0	0	0	NA	Ecuador	all	3114
7	86.0	0	0	0	NA	Colombia	local	3115
1	15	0	0	0	NA	Perú	all	3117
3	309.0	0	0	0	NA	Perú	local	3119
2	323.0	0	0	0	NA	Argentina	local	3120
1	15	0	0	0	NA	México	local	3121
1	15	0	0	0	NA	Panamá	local	3122
1	15	0	0	0	NA	Argentina	local	3123
4	323.0	0	0	0	NA	México	local	3124
2	61.0	0	0	0	NA	Venezuela	all	3126
1	15	0	0	0	NA	Venezuela	all	3127
1	15	0	0	0	NA	Perú	local	3128
1	15	0	0	0	NA	Costa Rica	all	3129
1	15	0	0	0	NA	Perú	local	3130
2	42.0	0	0	1	NA	Ecuador	local	3132
1	15	0	0	0	NA	Perú	local	3135
30	1324.0	0	4	5	NA	República Dominicana	all	3136
3	370.0	0	0	1	NA	Estados Unidos	all	3137
1	15	0	0	0	NA	México	all	3138
82	7049.0	0	18	6	NA	Perú	all	3139
9	982.0	0	0	0	NA	Estados Unidos	local	3140
1	15	0	0	0	NA	México	all	3141
1	15	0	0	0	NA	Colombia	local	3142
1	15	0	0	0	NA	Colombia	all	3143
1	15	0	0	0	NA	Colombia	local	3145
6	272.0	0	0	0	NA	Ecuador	local	3146
1	15	0	0	0	NA	Estados Unidos	local	3147
1	15	0	0	0	NA	Estados Unidos	all	3149
1	15	0	0	0	NA	El Salvador	all	3150
1	15	0	0	0	NA	El Salvador	local	3151
1	15	0	0	0	NA	México	local	3152
5	337.0	0	0	0	NA	México	all	3154
3	47.0	0	0	0	NA	Argentina	local	3156
1	15	0	0	0	NA	México	all	3158
6	572.0	0	0	0	NA	Venezuela	local	3160
1	15	0	0	0	NA	México	all	3162
1	15	0	0	0	NA	España	all	3163
1	15	0	0	0	NA	Argentina	local	3164
1	15	0	0	0	NA	España	local	3165
1	15	0	0	0	NA	México	local	3167
1	15	0	0	0	NA	Estados Unidos	local	3168
8	258.0	0	0	0	NA	España	local	3169
36	1238.0	1	6	4	NA	España	local	3170
1	15	0	0	0	NA	Estados Unidos	local	3172
1	15	0	0	0	NA	España	all	3174
3	219.0	0	0	0	NA	Perú	local	3175
3	280.0	0	0	0	NA	Chile	all	3177
3	83.0	0	0	0	NA	Francia	all	3179
1	15	0	0	0	NA	España	local	3181
1	15	0	0	0	NA	Colombia	local	3182
